window_start,window_end,rat_minutes,rat_pressure,bat_landing_number,food_availability,rat_arrival_number,hours_after_sunset,month
2017-12-26 16:00:00,2017-12-26 16:30:00,0.0,0.0,20,4.0,0,-0.5,0
2017-12-26 16:30:00,2017-12-26 17:00:00,0.0,0.0,28,4.0,0,0.0,0
2017-12-26 17:00:00,2017-12-26 17:30:00,0.0,0.0,25,4.0,0,0.5,0
2017-12-26 17:30:00,2017-12-26 18:00:00,0.0,0.0,71,4.0,0,1.0,0
2017-12-26 18:00:00,2017-12-26 18:30:00,0.0,0.0,44,3.753856942,0,1.5,0
2017-12-26 18:30:00,2017-12-26 19:00:00,0.0,0.0,44,3.147265077,0,2.0,0
2017-12-26 19:00:00,2017-12-26 19:30:00,0.0,0.0,41,3.0,0,2.5,0
2017-12-26 19:30:00,2017-12-26 20:00:00,0.0,0.0,54,3.0,0,3.0,0
2017-12-26 20:00:00,2017-12-26 20:30:00,0.0,0.0,32,3.0,0,3.5,0
2017-12-26 20:30:00,2017-12-26 21:00:00,1.283333333,0.04277777776666667,51,2.968873797,2,4.0,0
2017-12-26 21:00:00,2017-12-26 21:30:00,4.866666667,0.16222222223333332,53,2.561403509,1,4.5,0
2017-12-26 21:30:00,2017-12-26 22:00:00,7.9,0.26333333333333336,47,2.086587436,1,5.0,0
2017-12-26 22:00:00,2017-12-26 22:30:00,0.133333333,0.004444444433333333,75,2.0,1,5.5,0
2017-12-26 22:30:00,2017-12-26 23:00:00,0.0,0.0,45,1.958064516,0,6.0,0
2017-12-26 23:00:00,2017-12-26 23:30:00,0.0,0.0,30,1.55,0,6.5,0
2017-12-26 23:30:00,2017-12-27 00:00:00,0.0,0.0,44,1.049289229,0,7.0,0
2017-12-27 00:00:00,2017-12-27 00:30:00,0.0,0.0,30,0.542372881,0,7.5,0
2017-12-27 00:30:00,2017-12-27 01:00:00,0.0,0.0,26,0.144067797,0,8.0,0
2017-12-27 01:00:00,2017-12-27 01:30:00,6.683333333,0.22277777776666668,16,0.0,1,8.5,0
2017-12-27 01:30:00,2017-12-27 02:00:00,0.016666667,0.0005555555666666666,13,0.0,1,9.0,0
2017-12-27 02:00:00,2017-12-27 02:30:00,0.0,0.0,17,0.0,0,9.5,0
2017-12-27 02:30:00,2017-12-27 03:00:00,0.0,0.0,15,0.0,0,10.0,0
2017-12-27 03:00:00,2017-12-27 03:30:00,0.0,0.0,14,0.0,0,10.5,0
2017-12-27 03:30:00,2017-12-27 04:00:00,0.0,0.0,13,0.0,0,11.0,0
2017-12-27 16:00:00,2017-12-27 16:30:00,0.0,0.0,13,4.0,0,-0.5,0
2017-12-27 16:30:00,2017-12-27 17:00:00,0.0,0.0,18,4.0,0,0.0,0
2017-12-27 17:00:00,2017-12-27 17:30:00,0.0,0.0,31,4.0,0,0.5,0
2017-12-27 17:30:00,2017-12-27 18:00:00,0.0,0.0,35,4.0,0,1.0,0
2017-12-27 18:00:00,2017-12-27 18:30:00,0.0,0.0,22,4.0,0,1.5,0
2017-12-27 18:30:00,2017-12-27 19:00:00,0.0,0.0,24,3.964516129,0,2.0,0
2017-12-27 19:00:00,2017-12-27 19:30:00,0.0,0.0,30,3.566666667,0,2.5,0
2017-12-27 19:30:00,2017-12-27 20:00:00,0.0,0.0,73,3.102150538,0,3.0,0
2017-12-27 20:00:00,2017-12-27 20:30:00,0.0,0.0,67,3.0,0,3.5,0
2017-12-27 20:30:00,2017-12-27 21:00:00,0.0,0.0,2,3.0,0,4.0,0
2017-12-27 21:00:00,2017-12-27 21:30:00,0.0,0.0,25,3.0,0,4.5,0
2017-12-27 21:30:00,2017-12-27 22:00:00,0.0,0.0,48,2.970430108,0,5.0,0
2017-12-27 22:00:00,2017-12-27 22:30:00,0.0,0.0,52,2.583333333,0,5.5,0
2017-12-27 22:30:00,2017-12-27 23:00:00,0.0,0.0,61,2.112903226,0,6.0,0
2017-12-27 23:00:00,2017-12-27 23:30:00,0.0,0.0,17,2.0,0,6.5,0
2017-12-27 23:30:00,2017-12-28 00:00:00,0.0,0.0,12,2.0,0,7.0,0
2017-12-28 00:00:00,2017-12-28 00:30:00,0.0,0.0,11,2.0,0,7.5,0
2017-12-28 00:30:00,2017-12-28 01:00:00,4.166666667,0.1388888889,34,1.953405018,1,8.0,0
2017-12-28 01:00:00,2017-12-28 01:30:00,0.0,0.0,40,1.555555556,0,8.5,0
2017-12-28 01:30:00,2017-12-28 02:00:00,0.0,0.0,37,1.107526882,0,9.0,0
2017-12-28 02:00:00,2017-12-28 02:30:00,0.0,0.0,34,1.0,0,9.5,0
2017-12-28 02:30:00,2017-12-28 03:00:00,0.0,0.0,23,1.0,0,10.0,0
2017-12-28 03:00:00,2017-12-28 03:30:00,0.0,0.0,21,1.0,0,10.5,0
2017-12-28 03:30:00,2017-12-28 04:00:00,16.01666667,0.533888889,5,0.971774194,1,11.0,0
2017-12-28 04:00:00,2017-12-28 04:30:00,0.883333333,0.029444444433333335,11,0.730769231,1,11.5,0
2017-12-28 04:30:00,2017-12-28 05:00:00,0.0,0.0,3,0.442307692,0,12.0,0
2017-12-28 16:00:00,2017-12-28 16:30:00,0.0,0.0,8,4.0,0,-0.5,0
2017-12-28 16:30:00,2017-12-28 17:00:00,0.0,0.0,3,4.0,0,0.0,0
2017-12-28 17:00:00,2017-12-28 17:30:00,0.0,0.0,24,4.0,0,0.5,0
2017-12-28 17:30:00,2017-12-28 18:00:00,0.0,0.0,23,4.0,0,1.0,0
2017-12-28 18:00:00,2017-12-28 18:30:00,0.0,0.0,48,4.0,0,1.5,0
2017-12-28 18:30:00,2017-12-28 19:00:00,0.0,0.0,55,3.962648557,0,2.0,0
2017-12-28 19:00:00,2017-12-28 19:30:00,8.1,0.26999999999999996,23,3.543859649,1,2.5,0
2017-12-28 19:30:00,2017-12-28 20:00:00,2.5,0.08333333333333333,23,3.07696661,1,3.0,0
2017-12-28 20:00:00,2017-12-28 20:30:00,0.0,0.0,32,3.0,0,3.5,0
2017-12-28 20:30:00,2017-12-28 21:00:00,0.0,0.0,29,3.0,0,4.0,0
2017-12-28 21:00:00,2017-12-28 21:30:00,0.0,0.0,50,3.0,0,4.5,0
2017-12-28 21:30:00,2017-12-28 22:00:00,0.0,0.0,49,2.951877314,0,5.0,0
2017-12-28 22:00:00,2017-12-28 22:30:00,0.0,0.0,57,2.540983607,0,5.5,0
2017-12-28 22:30:00,2017-12-28 23:00:00,0.0,0.0,66,2.090428345,0,6.0,0
2017-12-28 23:00:00,2017-12-28 23:30:00,0.0,0.0,52,2.0,0,6.5,0
2017-12-28 23:30:00,2017-12-29 00:00:00,0.0,0.0,42,2.0,0,7.0,0
2017-12-29 00:00:00,2017-12-29 00:30:00,0.0,0.0,29,2.0,0,7.5,0
2017-12-29 00:30:00,2017-12-29 01:00:00,0.0,0.0,38,1.951075269,0,8.0,0
2017-12-29 01:00:00,2017-12-29 01:30:00,0.0,0.0,44,1.533333333,0,8.5,0
2017-12-29 01:30:00,2017-12-29 02:00:00,0.0,0.0,23,1.082258065,0,9.0,0
2017-12-29 02:00:00,2017-12-29 02:30:00,0.0,0.0,25,1.0,0,9.5,0
2017-12-29 02:30:00,2017-12-29 03:00:00,0.0,0.0,31,0.947076613,0,10.0,0
2017-12-29 03:00:00,2017-12-29 03:30:00,0.0,0.0,24,0.546875,0,10.5,0
2017-12-29 03:30:00,2017-12-29 04:00:00,0.9,0.030000000000000002,18,0.15625,1,11.0,0
2017-12-29 04:00:00,2017-12-29 04:30:00,0.0,0.0,3,0.0,0,11.5,0
2017-12-29 04:30:00,2017-12-29 05:00:00,0.0,0.0,6,0.0,0,12.0,0
2017-12-29 14:30:00,2017-12-29 15:00:00,0.0,0.0,7,4.0,0,-2.0,0
2017-12-29 15:00:00,2017-12-29 15:30:00,0.0,0.0,1,4.0,0,-1.5,0
